name,developer,homepage,reviews
"Holy Bible, KJV Bible + Audio",WOOMBIT,https://apps.apple.com/us/app/holy-bible-kjv-bible-audio/id6479892998?uo=2,1556
Barnes & Noble,Barnes & Noble,https://apps.apple.com/us/app/barnes-noble/id1477515079?uo=2,34
Bible For Women.,PANDAS OF CARIBBEAN LIMITED,https://apps.apple.com/us/app/bible-for-women/id6479348235?uo=2,2654
athenaPatient,athenahealth,https://apps.apple.com/us/app/athenapatient/id1644169294?uo=2,217
BioLife Plasma Services,Takeda Pharmaceuticals International AG,https://apps.apple.com/us/app/biolife-plasma-services/id1356589861?uo=2,1528
PPSSPP - PSP emulator,Henrik Rydgård,https://apps.apple.com/us/app/ppsspp-psp-emulator/id6496972903?uo=2,1190
"Replit: Idea to software, fast",Replit,https://apps.apple.com/us/app/replit-idea-to-software-fast/id1614022293?uo=2,216
O-KAM Pro,国潮 严,https://apps.apple.com/us/app/o-kam-pro/id1602054864?uo=2,1554
"Dmanage :  Browser,Files",Ernestine Khn,https://apps.apple.com/us/app/dmanage-browser-files/id6479523226?uo=2,2283
Python Editor App,Andromeda Corp LTD,https://apps.apple.com/us/app/python-editor-app/id1672453872?uo=2,1093
Auto Tapper Tap,Asad Jamal,https://apps.apple.com/us/app/auto-tapper-tap/id1630521755?uo=2,249
iSH Shell,Theodore Dubois,https://apps.apple.com/us/app/ish-shell/id1436902243?uo=2,965
Scriptable,Simon B. Støvring,https://apps.apple.com/us/app/scriptable/id1405459188?uo=2,2320
AI Video Art Creator - Livensa,Feraset Yazılım ve Danışmanlık Anonim Şirketi,https://apps.apple.com/us/app/ai-video-art-creator-livensa/id6449701421?uo=2,1457
Home AI - AI Interior Design,HUBX,https://apps.apple.com/us/app/home-ai-ai-interior-design/id6464476667?uo=2,1739
MyShake,"University of California, Berkeley",https://apps.apple.com/us/app/myshake/id1467058529?uo=2,1348
Local Weather warning & Radar,Apexads Limited,https://apps.apple.com/us/app/local-weather-warning-radar/id1589580347?uo=2,114
